Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,106,,60702,ALBUMINA HUMANA 200MG/ML(20%)-50ML FR/AMP GRIFOLS,,FA C/10000MG,,"144,0001",169,"24.336,02",,A,"6.866.621,01",,"55,63"
,107,,42601,STENT FARMACOLOGICO ULTIMASTER TANSEI 3X38MM-DERQ3038KSM,,UNIDADE,,"12.000,0000",2,"24.000,00",,A,"6.890.621,01",,"55,82"
,108,,42372,"STENT FARMACOLOGICO ULTIMASTER TANSEI 2,5X18MM-DERQ2518KSM",,UNIDADE,,"12.000,0000",2,"24.000,00",,A,"6.914.621,01",,"56,01"
,109,,215,ACTILYSE 50MG-50ML FR/AMP EV-ALTEPLASE,,FA C/50MG,,"2.652,4085",9,"23.871,68",,A,"6.938.492,68",,"56,21"
,110,,19566,DIETA PARENTERAL NUTRIFICA PADRAO PEDIATRICA,,MILILITRO,,"1,7100",13943,"23.843,04",,A,"6.962.335,72",,"56,40"
,111,,22896,MARCAPASSO ENDURITY MRI DR-PM2172,,UNIDADE,,"11.799,0000",2,"23.598,00",,A,"6.985.933,72",,"56,59"
,112,,42707,"STENT FARMACOLOGICO ULTIMASTER TANSEI 3,5X38MM-DERQ3538KSM",,UNIDADE,,"23.500,0000",1,"23.500,00",,A,"7.009.433,72",,"56,78"
,113,,42714,STENT FARMACOLOGICO ULTIMASTER TANSEI 4X28MM-DERQ4028KSM,,UNIDADE,,"23.500,0000",1,"23.500,00",,A,"7.032.933,72",,"56,97"
,114,,42469,"STENT FARMACOLOGICO ULTIMASTER TANSEI 2,75X28MM-DERQ2728KSM",,UNIDADE,,"23.500,0000",1,"23.500,00",,A,"7.056.433,72",,"57,16"
,115,,82693,CATETER VENOSO POWERPICC 3CG 5FR 55CM 2LUM-4275118,,UNIDADE,,"937,8144",25,"23.445,36",,A,"7.079.879,08",,"57,35"
,116,,3887,PANO REUTILIZAVEL ULTRA ABSORVENTE 35X28CM C/100 UND,,UNIDADE,,"0,2975",78800,"23.443,00",,A,"7.103.322,08",,"57,54"
,117,,200195,KIT CIRURGICO UNIVERSAL ESTERIL VIII HEALTH QUALITY-222294,,UNIDADE,,"31,8222",732,"23.293,84",,A,"7.126.615,92",,"57,73"
,118,,2119,"FEMARA 2,5MG COMP REV-LETROZOL",,"COMP C/2,5MG",,"22,7821",1020,"23.237,71",,A,"7.149.853,63",,"57,92"
,119,,42221,"STENT FARMACOLOGICO ULTIMASTER TANSEI 2,25X38MM-DERQ2238KSM",,UNIDADE,,"11.600,0000",2,"23.200,00",,A,"7.173.053,63",,"58,11"
,120,,42706,"STENT FARMACOLOGICO ULTIMASTER TANSEI 3,5X33MM-DERQ3533KSM",,UNIDADE,,"22.500,0000",1,"22.500,00",,A,"7.195.553,63",,"58,29"
Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,121,,206992,"STENT FARMACOLOGICO XIENCE PRO 2,25X12MM 145CM-112822512",,UNIDADE,,"22.000,0000",1,"22.000,00",,A,"7.217.553,63",,"58,47"
,122,,91422,ENDOPROTESE CGUARD 8X40MM-CRX0840,,UNIDADE,,"22.000,0000",1,"22.000,00",,A,"7.239.553,63",,"58,65"
,123,,215058,CATETER LITOTRIPSIA CORONARIA C2 4X12MM-C2KIVL4012,,UNIDADE,,"22.000,0000",1,"22.000,00",,A,"7.261.553,63",,"58,83"
,124,,206397,FRALDA TENA DERMACARE EG-012170980822,,UNIDADE,,"2,7132",8036,"21.803,39",,A,"7.283.357,02",,"59,00"
,125,,13574,"EXTRATOR CALCULO CAPTURA 3,2FR 115CM-CE432115",,UNIDADE,,"1.802,5000",12,"21.630,00",,A,"7.304.987,02",,"59,18"
,126,,4814,ETIQUETA ADES COUCHE S/IMPR BRANCA 102X5MM RL C/665 UND,,UNIDADE,,"35,7000",597,"21.312,89",,A,"7.326.299,92",,"59,35"
,127,,177254,"SUTURADOR VASCULAR PERCLOSE PROSTYLE 2,6MM 8,6FR-1277302",,UNIDADE,,"2.649,3750",8,"21.195,00",,A,"7.347.494,92",,"59,52"
,128,,42466,"STENT FARMACOLOGICO ULTIMASTER TANSEI 2,75X18MM-DERQ2718KSM",,UNIDADE,,"21.000,0000",1,"21.000,00",,A,"7.368.494,92",,"59,69"
,129,,42468,"STENT FARMACOLOGICO ULTIMASTER TANSEI 2,75X24MM-DERQ2724KSM",,UNIDADE,,"21.000,0000",1,"21.000,00",,A,"7.389.494,92",,"59,86"
,130,,42374,"STENT FARMACOLOGICO ULTIMASTER TANSEI 2,5X24MM-DERQ2524KSM",,UNIDADE,,"21.000,0000",1,"21.000,00",,A,"7.410.494,92",,"60,03"
,131,,8005,AVENTAL SMS DESCART ESTERIL MANGA/PUNHO AZUL 40GR G-A4SMSG,,UNIDADE,,"11,9005",1725,"20.528,34",,A,"7.431.023,25",,"60,20"
,132,,112136,COMPRESSA CIR ESTERIL MEDI HOUSE EMB DUPLA RX 25X28CM-00045,,UNIDADE,,"7,5000",2734,"20.505,00",,A,"7.451.528,25",,"60,36"
,133,,109595,LUVA PROCED N/EST NITRILO TAM P CX C/100,,UNIDADE,,"14,3743",1399,"20.109,71",,A,"7.471.637,96",,"60,53"
,134,,139364,NUBEQA 300MG COMP REV-DAROLUTAMIDA,,COMP C/300MG,,"83,4819",240,"20.035,65",,A,"7.491.673,61",,"60,69"
,135,,62339,KIT DESC PERCUTANEO VERTEBROPLASTIA-MA150,,UNIDADE,,"10.000,0000",2,"20.000,00",,A,"7.511.673,61",,"60,85"
,136,,214403,"KIT CIRURGICO DISCSAVER 2,80X220MM-DSLSF280220",,UNIDADE,,"20.000,0000",1,"20.000,00",,A,"7.531.673,61",,"61,01"
,137,,208005,PLACA RADIO B PALMAR T ESQUERDA 10F 2MM-775113000003,,UNIDADE,,"20.000,0000",1,"20.000,00",,A,"7.551.673,61",,"61,18"
,138,,207033,"STENT FARMACOLOGICO XIENCE PRO 3,50X23MM 145CM-112835023",,UNIDADE,,"19.800,0000",1,"19.800,00",,A,"7.571.473,61",,"61,34"
,139,,110014,LORBRENA 100MG COMP REV-LORLATINIBE,,COMP C/100MG,,"658,3600",30,"19.750,80",,A,"7.591.224,41",,"61,50"
Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,140,,43645,AZTREONAM 1.000MG FR/AMP EV/IM BIOCHIMICO,,FA C/1000MG,,"43,6652",451,"19.693,00",,A,"7.610.917,41",,"61,66"
,141,,179884,FRASCO COLETOR DRENAGEM SECRECAO BIOVAR 3500ML-0005087,,UNIDADE,,"32,8592",596,"19.584,08",,A,"7.630.501,49",,"61,81"
,142,,208823,"VOLARE 40 MG/0,4ML SER SC(ENOXAPARINA)",,SERINGA PREEN,,"12,2058",1594,"19.456,11",,A,"7.649.957,60",,"61,97"
,143,,19569,DIETA PARENTERAL NUTRIFICA ADITIVO LIPIDEOS COMPLEXO,,MILILITRO,,"2,6320",7370,"19.398,31",,A,"7.669.355,91",,"62,13"
,144,,90540,CORPO UMERAL INVERTIDO-135215050,,UNIDADE,,"9.500,0000",2,"19.000,00",,A,"7.688.355,91",,"62,28"
,145,,216999,"PARAFUSO N/BLOQUEADO TECHHAND 2,5X10MM-TI0020025010",,UNIDADE,,"18.900,0000",1,"18.900,00",,A,"7.707.255,91",,"62,44"
,146,,27993,CONECTOR VALVULADO SF C/LUER S/AGULHA MAXZERO-MZ1000,,UNIDADE,,"2,9982",6292,"18.864,79",,A,"7.726.120,70",,"62,59"
