,,,,,,,,,,,,,,,,,"% Sobre o
Vl Total"
Seq.,,Produto,,,Unidade,,,,,,,,,,,,
89,31952,,AZITROMICINA 600MG(200MG/5ML-15ML)FR PO SUSP EMS,FRASC C/15ML,,C,,"20,2711",,3,,"60,81",,"32.462,79",,"0,00 %",
90,357,,AZITROMICINA 600MG(200MG/5ML-15ML)FR PO SUSP EUROFARMA,FRASC C/15ML,,C,,"35,5000",,2,,"71,00",,"32.533,79",,"0,01 %",
91,43645,,AZTREONAM 1.000MG FR/AMP EV/IM BIOCHIMICO,FA C/1000MG,,C,,"44,2889",,22,,"974,36",,"33.508,15",,"0,08 %",
92,361,,AZUL METILENO 20MG/ML(2%)-5ML AMP EV(MANIPULADO),AMP C/100MG,,C,,"2,9190",,3,,"8,76",,"33.516,91",,"0,00 %",
93,3308,,BAC SULFITRIN 80/16 MG/ML-5ML AMP EV (SULFAMETOXAZOL/TRIMETO,AMPOLA,,C,,"3,9286",,59,,"231,79",,"33.748,69",,"0,02 %",
94,365,,BACLOFENO 10MG COMP UNIAO QUIMICA,COMP C/10MG,,C,,"0,4400",,12,,"5,28",,"33.753,97",,"0,00 %",
95,3300,,BACTRIM 400/80MG COMP-SULFAMETOXAZOL/TRIMETOPRIMA,COMPRIMIDO,,C,,"1,1649",,1,,"1,16",,"33.755,14",,"0,00 %",
96,3309,,BACTRIM F 800/160MG COMP-SULFAMETOXAZOL/TRIMETOPRIMA,COMPRIMIDO,,C,,"2,8789",,13,,"37,43",,"33.792,56",,"0,00 %",
97,36944,,BANDAGEM ELASTICA ESTERIL FAIXA SMARCH 15CMX2M-207005,UNIDADE,,C,,"18,0652",,2,,"36,13",,"33.828,69",,"0,00 %",
98,3424,,BENERVA 300MG COMP REV-TIAMINA(VIT B1),COMPRIMIDO,,C,,"0,8370",,12,,"10,04",,"33.838,74",,"0,00 %",
99,11626,,BENICAR 40MG COMP REV-OLMESARTANA,COMP C/40MG,,C,,"1,6896",,36,,"60,82",,"33.899,56",,"0,00 %",
100,1168,,BEPANTOL 50MG/G-30G BG POM TOP-DEXPANTENOL,BISN C/30G,,C,,"15,8569",,22,,"348,85",,"34.248,41",,"0,03 %",
